summary,city,state,date_time,shape,duration,stats,report_link,text,posted,city_latitude,city_longitude
"My wife was driving southeast on a fairly populated main side road, it was dark out side at about 6:43pm, And my wife exclaimed” fallin",Chester,VA,2019-12-12T18:43:00,light,5 seconds,"Occurred : 12/12/2019 18:43  (Entered as : 12/12/19 18:43) Reported: 12/19/2019 7:19:31 PM 19:19 Posted: 12/22/2019 Location: Chester, VA Shape: Light Duration:5 seconds",http://www.nuforc.org/webreports/151/S151739.html,"My wife was driving southeast on a fairly populated main side road, it was dark out side at about 6:43pm, And my wife exclaimed” falling star baby look quick!” When I looked up I saw not a falling star but a bright ball of light , one that was closer than any shooting star I have ever seen, it had a blue glow  changing into green colors of light as it fell from the sky. It fell as if falling from an invisible opening in the sky... the night was a crystal clear night sky  so no clouds or precipitation to obstruct our view and the object was closer than any I have ever witnessed before. The way the object fell was too slow to be a meteor or falling star, also noting that there was no “light trail” following behind the object as it fell. We watched it fall for about 5 seconds before it disappeared into the dark night sky somewhere close to the earth surface.  It was the strangest light; object; ufo... I have encountered and felt a duty to report it.",2019-12-22T00:00:00,37.343151515151526,-77.408581818182
I think that I may caught a UFO on the NBC Nightly News that aired March 21st or 22nd.,Rocky Hill,CT,2019-03-22T18:30:00,circle,3-5 seconds,"Occurred : 3/22/2019 18:30  (Entered as : 03/22/19 18:30) Reported: 3/27/2019 4:10:19 PM 16:10 Posted: 3/29/2019 Location: Rocky Hill, CT Shape: Circle Duration:3-5 seconds",http://www.nuforc.org/webreports/145/S145297.html,"I think that I may caught a UFO on the NBC Nightly News that aired March 21st or 22nd. In this short clip of a Boeing 747, as the plane flies left to right, you can see a black circular object flying eradicably (sic.  Erraticly)) behind the tail wing,  I’m guessing at a distance of about 25-30 feet. If you slow the video down you can home in on the object more so.",2019-03-29T00:00:00,41.66480000000001,-72.6392999999999
I was driving towards the intersection of fallowfield and eagleson when I saw a where streak in the sky like a falling plane or somethi,Ottawa,ON,2019-04-17T02:00:00,teardrop,10 seconds,"Occurred : 4/17/2019 02:00  (Entered as : 04-17-2019 2:00) Reported: 4/17/2019 8:41:25 AM 08:41 Posted: 4/18/2019 Location: Ottawa (Carleton) (Canada), ON Shape: Teardrop Duration:10 seconds",http://www.nuforc.org/webreports/145/S145697.html,I was driving towards the intersection of fallowfield and eagleson when I saw a where streak in the sky like a falling plane or something.  I was shocked and it went down really fast towards the ground and disappeared.  Sorry for lack of details.  That is all I know.,2019-04-18T00:00:00,45.38138250000021,-75.70850071428617
"The object has flashing lights that are green, blue, red, and white.  The lights revolves around the object.  The object hovers.",Kirbyville,TX,2019-04-02T20:25:00,disk,15 minutes,"Occurred : 4/2/2019 20:25  (Entered as : 04/02/2019 20:25) Reported: 4/3/2019 6:36:52 PM 18:36 Posted: 4/8/2019 Location: Kirbyville, TX Shape: Disk Duration:15 minutes",http://www.nuforc.org/webreports/145/S145476.html,"The object has flashing lights that are green, blue, red, and white.  The lights revolves around the object.  The object hovers in the same area for a long period of time. ((ADDENDUM FROM WITNESS)) Thank you for responding.  The object seemed sphere or disc shaped.  The object was extremely far away, but we were able to see every color.  At one point a plane flew under the object and we were able to see how large it was in comparison.  It was at least two or three times the size of the aircraft.  The object ended up hovering for over an hour that we saw.  At one point the object dipped down and we noticed a smaller object below it that was similar.  When the larger object reached the smaller one, all of the sudden the smaller object disappeared.  We then noticed a large plane that flew under the large object flying North. The large object then suddenly disappeared. Please understand that I have never believed in UFO's nor do I believe in conspiracy theories.  This is a true account of what we have seen. I was not alone in seeing this object.  I do have a recording but my camera is so bad that it is difficult to see any of the colors that we saw on the recording.  Also, the object seemed much smaller in the recording than in real life.  If you would like for me to send you an attachment I will be more than happy to provide the documentation.  If there is an explanation for what was seen, please let me know. Thank you! ((END ADDENDUM)) ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2019-04-08T00:00:00,30.6772,-94.0052
Description is the same as Washington DC event in the 50’s  Glitter type objects .,Tucson,AZ,2019-05-01T11:00:00,unknown,5 minutes,"Occurred : 5/1/2019 11:00  (Entered as : 5/1/19 11:00) Reported: 5/1/2019 11:26:56 AM 11:26 Posted: 5/9/2019 Location: Tucson, AZ Shape: Unknown Duration:5 minutes",http://www.nuforc.org/webreports/145/S145947.html,"Description is the same as Washington, DC, event in the 50’s   Glitter type objects . Still scanning .... A-10’s scrambled out of David monathin airbase. ??",2019-05-09T00:00:00,32.25994075660238,-110.92754232690946
Apr. 10th we witnessed a very bright silvery round object hovering near zenith over our community looking like a very bright star.,Gold Canyon,AZ,2019-04-10T17:00:00,circle,10 minutes,"Occurred : 4/10/2019 17:00  (Entered as : 04/10/2019 17:00) Reported: 4/20/2019 5:28:10 PM 17:28 Posted: 4/25/2019 Location: Gold Canyon, AZ Shape: Circle Duration:10 minutes",http://www.nuforc.org/webreports/145/S145766.html,"Apr. 10th we witnessed a very bright silvery round object hovering near zenith over our community looking like a very bright star. On Apr. 10th at aprox. 7pm we witnessed a very bright silvery round object hovering near zenith over our community looking like a very large bright star.  It did not appear to move for the 10 minutes it was observed in conflict with very strong winds.  It changed color from bright shinny to reddish as the sun was setting, made no noise, and was unobservable after the sunset.  2 photos were taken with each  looking totally different in appearance ... they were taken only 3 min. apart. The observers are all retired professionals.",2019-04-25T00:00:00,33.3715,-111.4369
Ufos report in Irving Texas at 2200 hrs. On or about July 1973 or 1974.,Dallas,TX,1973-07-14T22:00:00,oval,6 minutes,"Occurred : 7/14/1973 22:00  (Entered as : 07/14/73 22:00) Reported: 4/20/2019 2:21:04 AM 02:21 Posted: 4/25/2019 Location: Dallas, TX Shape: Oval Duration:6 minutes",http://www.nuforc.org/webreports/145/S145751.html,"Ufos report in Irving Texas at 2200 hrs.  On or about July 1973 or 1974. Myself and my mother her sister and daughter was watching tv waiting for the news to come on, at 2200 hrs watching wffa channel 8 news the reporter said, ""Folks, if you want to see something amazing go out side and look over the Dallas skyline"" which we did as well as most of the block. What we all saw was three objects looked like the size of a golf balls from about 9 miles from Dallas texas looking east.  At about a 1000 to 1500 feet above Dallas.  These objects was stationery each emitting different colors like blue gold red green silver.  It was rather superb looking.  After just standing there for about a minute each one started to do bizzar monuvers like one was zigzaging the other one was going up then down zipping from on side of the sky back and forth with the other two, at on point they formed a close circle and went spinning around at very fast speed. This lasted for about 3 min.  When the US Navy put a halt to the airshow as they scrambled two F-8 crusaders which at that time was hot alert aircraft, which ment they was armed with the sidewinder missile, along with the 50.cal guns.  They flew from NAS Hensley field out side of Dallas on the southwest just about 6 miles away, it only took about 20 seconds from the time they took off to get  over Dallas.  (I seen them as they left the air station only 3 miles away) never will forget how loud they was in full afterburner,  Just before they got on station, the three objects shot straight up in the night sky in a split second.  The F-8s made a few passes over Dallas before returning to there base. This left me with a impression that the ufos wanted to show the people what they could do, I know aircraft and it was nothing  that any aircraft or helicopter could do. Not only did my family see this but was reported by was channel 8 news along with hundreds of people I will say on thing this report is not a hoax I seen other sightings as well but none as this one.",2019-04-25T00:00:00,32.835168077433146,-96.80811785917246
Metal orb of wires that was seen through a telescope after noticing a bright light that hovered in the sky. ((anonymous report)),Brookville,IN,2019-06-18T21:00:00,sphere,1 hour,"Occurred : 6/18/2019 21:00  (Entered as : 6/18/19 21:00) Reported: 6/18/2019 7:10:28 PM 19:10 Posted: 6/20/2019 Location: Brookville, IN Shape: Sphere Duration:1 hour",http://www.nuforc.org/webreports/146/S146900.html,"Metal orb of wires that was seen through a telescope after noticing a bright light that hovered in the sky for about an hour. Noticed a light in the sky that looked like an airplane, but never moved.  Proceeded to get telescope out and noticed a sphere that looked as if it was made out of wires.  Also noticed 2 black things inside of the center or at times one black thing and a tail on it.  No lights were on it and once the sun went over the horizon it was very hard to see.  There was 3 other of these lights in the sky very far apart from each other.   The whole incident lasted a whole hour but I am sure it was there for half an hour more at least. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2019-06-20T00:00:00,39.4047,-84.97360000000002
2 tiny lights recorded for about a minute.  We watched the top light bolt higher and then the lower light does a semi-circle.,Melbourne Beach,FL,2019-06-12T22:00:00,unknown,Hour,"Occurred : 6/12/2019 22:00  (Entered as : 06/12/2019 22:00) Reported: 6/13/2019 5:27:17 AM 05:27 Posted: 6/20/2019 Location: Melbourne Beach, FL Shape: Unknown Duration:Hour",http://www.nuforc.org/webreports/146/S146805.html,We think 2 UFOs....2 tiny lights recorded for about a minute.  We watched the top light bolt higher and then the lower light does an unbelievable semi circle motion.  Moved SO FAST like nothing I have ever seen before.,2019-06-20T00:00:00,27.966799999999992,-80.5096
"I was driving and saw three glowing orbs is the best I can describe it. I was driving trying to keep an eye on it and as I watched it,",Carrizozo,NM,2019-06-11T22:00:00,changing,Few minutes,"Occurred : 6/11/2019 22:00  (Entered as : June 11 20 22:00) Reported: 6/11/2019 10:18:14 PM 22:18 Posted: 6/20/2019 Location: Carrizozo, NM Shape: Changing Duration:Few minutes",http://www.nuforc.org/webreports/146/S146759.html,"I was driving and saw three glowing orbs is the best I can describe it.  I was driving trying to keep an eye on it and as I watched it, it just disappeared.  I also saw something else that could be related, it just didn't look right two lights almost looked like they were hovering and they did change location in the sky and were lower than the stars or what could be satellites, it did not look right to me",2019-06-20T00:00:00,33.7849,-105.8332
I was in pool and my wife was sitting on the edge.,Waco,TX,2018-06-15T01:00:00,circle,2 minute,"Occurred : 6/15/2018 01:00  (Entered as : 06/15/19 1:00) Reported: 6/10/2019 1:23:41 PM 13:23 Posted: 6/20/2019 Location: Waco, TX Shape: Circle Duration:2 minute",http://www.nuforc.org/webreports/146/S146740.html,"I was in pool and my wife was sitting on the edge. We heard a sound to the southwest.  It sound like a jet type engine, but not a plane.  Then a circular object came over the trees of our back yard at what I would say would be a helicopter type height, but it was not a helicopter. It didn't sound like a jet or a helicopter, but it was a jet type sound. It moved slowly in a northeast direction and hovered directly over our pool for about 5 to 10 seconds and then continued to slowly continue. When it was above we could see what looked like two jet type engines at the back of the craft facing in a downward direction then they rotated back some and it continued moving slowly until it was out of site due to the roof of our house. We were both looking in amazement and didn't think to grab my phone to video until it had almost cleared the house and you really could see anything on the video since I tried to take the video so fast. We live near Space X, which is the general direction it came from and are about 35 minutes from Ft. Hood army base.  So we thought maybe it might be an experimental craft. I am so mad at myself for not immediately grabbing my phone. ((NUFORC Note:  We spoke via telephone with the witness, and he corrected the date to 2018.  He seemed to us to be quite sober-minded, and we suspect that he and his wife probably are very capable and reliable witnesses.  PD))",2019-06-20T00:00:00,31.573597507788197,-97.13584859813108
"Bright Circle of Light followed me from Oskaloosa IA to Centerville, IA.",Centerville,IA,1999-08-15T02:30:00,circle,1 hour,"Occurred : 8/15/1999 02:30  (Entered as : 08/15/1999 2:30) Reported: 6/8/2019 1:55:19 AM 01:55 Posted: 6/20/2019 Location: Centerville, IA Shape: Circle Duration:1 hour",http://www.nuforc.org/webreports/146/S146702.html,"Bright Circle of Light followed me from Oskaloosa, IA, to Centerville, IA.. I was on my way home from Pella, IA.  Driving to Centerville, IA.  Around the Oskaloosa, IA exit. I seen a bright white light.  It stayed with me until I reached Centerville, IA.  There is a water tower on the south east  side of town.  I stopped and the light stopped and it was between the ball on top of the water tower and the part that comes out of the ground.   I rolled down my window.  It made no noise the light didn’t move this was for about 4 minutes. .  I got scared and started to drive and the light went straight up into the sky and went back north. Back in the direction in which it followed me.   I wish I would have gotten out of my car and walked towards it.  I hope before I pass I am able to see it again or see another UFO.  I won’t be scared and I will try and get closer.  It is now 2019.",2019-06-20T00:00:00,40.7074,-92.9213
Strange bright light hovered over mobile home.,Gray Court,SC,1975-07-17T00:00:00,light,5 minutes,"Occurred : 7/17/1975 00:00  (Entered as : 07/17/1975 00:00) Reported: 6/27/2019 7:49:44 PM 19:49 Posted: 7/5/2019 Location: Gray Court, SC Shape: Light Duration:5 minutes",http://www.nuforc.org/webreports/147/S147117.html,Strange bright light hovered over mobile home. ((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD),2019-07-05T00:00:00,34.5788,-82.1141
There were 4 lights in diagonal formation that moved side to side to side.  The fifth craft was moving in a figure 8 motion.,Yuba City,CA,2019-08-17T00:00:00,formation,20 minutes,"Occurred : 8/17/2019 00:00  (Entered as : 081719 0:00) Reported: 8/17/2019 2:10:35 AM 02:10 Posted: 8/23/2019 Location: Yuba City, CA Shape: Formation Duration:20 minutes",http://www.nuforc.org/webreports/148/S148345.html,There were 4 lights in diagonal formation that moved side to side to side.  The fifth craft was moving in a figure 8 motion.  The fifth craft was noticeably lower than the others.   I have video proof of the 4 diagonal crafts.,2019-08-23T00:00:00,39.05981141552499,-121.66825616438334
Star-like light that started bouncing in the air before disappearing,Abilene,TX,2019-08-14T01:00:00,light,30 seconds,"Occurred : 8/14/2019 01:00  (Entered as : 08/14/19 01:00) Reported: 8/19/2019 1:26:51 AM 01:26 Posted: 8/23/2019 Location: Abilene, TX Shape: Light Duration:30 seconds",http://www.nuforc.org/webreports/148/S148373.html,"star-like light that started bouncing in the air before disappearing I was driving on the highway heading south, and in the air kind of behind these apartments off of the highway there was a bright light that looked like a star but was a slight bit bigger and brighter, it had a light blue color to it.  it was floating there for a few seconds then it started “bouncing” up and down rapidly in the air and changing colors from light blue to red. it stopped bouncing and sat still for a few seconds before it disappeared.",2019-08-23T00:00:00,32.39435138461548,-99.7900440000002
Abnormal flashing object in SoCal,Santa Barbara,CA,2019-08-06T20:45:00,flash,5 minutes,"Occurred : 8/6/2019 20:45  (Entered as : 08/06/19 20:45) Reported: 8/7/2019 8:56:43 PM 20:56 Posted: 8/23/2019 Location: Santa Barbara, CA Shape: Flash Duration:5 minutes",http://www.nuforc.org/webreports/148/S148122.html,"Abnormal flashing object in SoCal As an avid skywatcher since birth (51 hrs), I take pride in my recognition skills concerning flying objects.  While relaxing on my back porch after a long day of work, I noticed what appeared to be a flashing satellite.  The trajectory was circumpolar and velocity was consistant with average satellites.  The object was first noticed at the zenith.  The first flash was of approximately -6 magnitude brightness and lasted 3 seconds.  So far this seemed normal for a rotating solar paneled satellite.  Every 22 seconds the object flashed at a consistent magnitude until it disappeared over the northern horizon.  The odd thing is the flashing was consistent brightness as though the light was radiating all directions. Normal rotating satellites will flash at most twice before the change in orbital position relative to the observer makes the solar panels flash to a single spot on the earths surface.  The next flash would be hundreds of miles away from the observer one would th! ink.  This is the first time I’ve seen this phenomenon and have seen thousands of satellites in my skywatching. This is my 23rd unexplainable sighting of aerial phenomena. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2019-08-23T00:00:00,34.31703810344835,-119.72054137931023
"Very unusual, extreme chevron-shaped aircraft observed mid-afternoon, clear sky, flying west overhead East Beach, Charlestown, RI",Charlestown,RI,2019-08-05T14:00:00,chevron,30 seconds,"Occurred : 8/5/2019 14:00  (Entered as : 08/05/19 14:00) Reported: 8/8/2019 6:45:55 AM 06:45 Posted: 8/23/2019 Location: Charlestown, RI Shape: Chevron Duration:30 seconds",http://www.nuforc.org/webreports/148/S148130.html,"Very unusual, extreme chevron-shaped aircraft observed mid-afternoon, clear sky, flying west overhead East Beach, Charlestown, RI This was a most unusual aircraft design,singurlarly moving directly overhead at plane travel height, in a westerly direction over East Beach shorefront.  This very futuristically shaped 'aircraft', or very large drone, dark colored, with broad sweptback wings and tail, seemed to have a typical airplane engine noise, appeared to travel at a typical airplane speed, and moved along a straight path as other typically observed aircraft that we've seen overhead that area. The most remarkable thing that we both agreed was the shape.",2019-08-23T00:00:00,41.396,-71.6631
A white saucer shaped entity was captured on security camera at high speed going into clouds.,Springfield,TN,2019-08-03T18:53:00,disk,3 seconds,"Occurred : 8/3/2019 18:53  (Entered as : 08/03/19 18:53) Reported: 8/5/2019 6:27:11 AM 06:27 Posted: 8/23/2019 Location: Springfield, TN Shape: Disk Duration:3 seconds",http://www.nuforc.org/webreports/148/S148057.html,A white saucer shaped entity was captured on security camera at high speed going into clouds.,2019-08-23T00:00:00,36.50860000000007,-86.85630000000012
Giant x shape with blue and orange lights at each corner,Maitland,FL,2019-07-29T08:13:00,other,3 minutes,"Occurred : 7/29/2019 08:13  (Entered as : 7/29/19 8:13) Reported: 7/29/2019 5:55:11 PM 17:55 Posted: 8/23/2019 Location: Maitland, FL Shape: Other Duration:3 minutes",http://www.nuforc.org/webreports/147/S147896.html,Giant x shape with blue and orange lights at each corner It was around 8:12 when i went outside to skate then when i was sitting down to take a break i saw this big X with blue and orange lights on the end of each corner it only lasted like 3  minutes all it did was hover it produced zero sound it didn’t occur to me to take a photo or video because i did not think much of it but when i tried to take a video the lights dimmed and kinda began to blur like the lights looked as if they were blurry then it just went black and i didn't see the thing again it was the first time id ever seen something like this and i honestly think it was extraterrestrial if anyone has seen this please share,2019-08-23T00:00:00,28.62938584070791,-81.36191061946894
Planes guided into the Trade Centers by UFOs.,Erie,PA,2001-09-11T09:00:00,cigar,Many Hours,"Occurred : 9/11/2001 09:00  (Entered as : 9/11/01 10:00) Reported: 4/6/2006 4:04:27 PM 16:04 Posted: 5/15/2006 Location: Erie, PA Shape: Cigar Duration:Many Hours",http://www.nuforc.org/webreports/049/S49995.html,"Planes guided into the Trade Centers by UFOs. I can't believe not many people reported this.   I saw two ufos hit the World Trade Centers.  Is America blind.  The centers went down.  I'm not talking about the planes.  I saw 2 sebarate crafts ""watching"" from the sky.  In the confusion people might have missed it.  They seemed to guide the planes into centers.  Maybe I'm going crazy, but they weren't just spectators.  I saw them while watching the events unfold on TV.",2006-05-15T00:00:00,42.09974517647057,-80.0776338823526
It was a full moon when my brother and I observed 100 yards away for 5 minutes above the tree topics a metalic saucer shaped craft with,Lawrenceburg,KY,1969-06-01T21:00:00,disk,5 minutes,"Occurred : 6/1/1969 21:00  (Entered as : 1969 21:00) Reported: 4/3/2006 7:15:39 PM 19:15 Posted: 5/15/2006 Location: Lawrenceburg, KY Shape: Disk Duration:5 minutes",http://www.nuforc.org/webreports/049/S49947.html,"It was a full moon when my brother and I observed 100 yards away for 5 minutes above the tree topics a metalic saucer shaped craft with colored lights, yellow, green, red, blue that flickered with the craft making no noise, going backwards and forwards, remaining stationary and then taking off extremely fast. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",2006-05-15T00:00:00,38.00520000000002,-84.98299999999998
"UFO over Orangevale, CA in May/June 1969",Orangevale,CA,1969-06-01T23:00:00,unknown,30 to 45 minutes,"Occurred : 6/1/1969 23:00  (Entered as : 06/01/1969 23:00) Reported: 3/13/2006 9:09:35 PM 21:09 Posted: 5/15/2006 Location: Orangevale, CA Shape: Unknown Duration:30 to 45 minutes",http://www.nuforc.org/webreports/049/S49619.html,"UFO over Orangevale, CA in May/June 1969 My fiance had 2 friends over and they were in sleeping bags in his backyard.  They were just falling asleep when the backyard was lit as bright as noon on a sunny day. My fiance also told me all three guys mentioned that their zippers and/or metal buttons on their clothing and sleeping bags got very warm. There was no noise, just the intense light.  They darted into the house and tried to watch whatever it was out of the patio door. They never saw a ""shape"", just the light beam at that point. After it moved away, my fiance ran down to the house where I was staying while my mother was at my grandmother's funeral.  He tapped on the window and when I awoke, he told me what they had just seen.  I got dressed and joined him in a grassy field across from his house and we watched as this bright light moved slowly around the Orangevale area (very rural in 1969).  As it moved, it shot a beam of light down every once in awhile.  We heard various animals make noise in the area the beam was shining.  We watched this for several minutes, then I told my fiance to call McClellan AFB in North Highlands, CA since that is where my step-father was currently stationed.  He did but they claimed they didn't know anything about the object we were seeing in the sky so they referred us to Mather AFB. We called them but they claimed the same thing.  We no sooner got back outside and all of a sudden there were 4 jets flying in from 4 directions, directly at the light.  As they approached, the light became brilliantly bright, then shot straight up in the sky and disappeared. The jets circled for a couple of minutes, then left. About one minute later, the light came slowly back down and continued its slow progress around the countryside. Every time it made an abrupt turn, it became brighter, then after it turned, it dimmed to ""normal"" again.   BTW, there was no moon that night so it was pitch black outside and all the stars were clearly visible, and if anyone claims it was Venus, well, it doesn't move - at least not very fast! No helicopter whump, whump, whump. And besides, helicopters - even today - can't do what that light did. And whatever it was, it out flew 4 jets. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",2006-05-15T00:00:00,38.684499999999936,-121.2222999999999
"A  FLYING OBJECT BURNED TOP OF TREES IN ROCKY MOUNT, NC. 1969",Rocky Mount,NC,1969-07-27T21:45:00,sphere,15 MINUTES,"Occurred : 7/27/1969 21:45  (Entered as : 07/27/69 21:45) Reported: 5/2/2006 10:23:58 PM 22:23 Posted: 5/15/2006 Location: Rocky Mount, NC Shape: Sphere Duration:15 MINUTES",http://www.nuforc.org/webreports/050/S50399.html,"A  FLYING OBJECT BURNED TOP OF TREES IN ROCKY MOUNT, NC. 1969 I WAS ALMOST 10 YEARS OLD. I WAS STANDING IN FRONT OF GRANDMOTHER'S HOUSE ON BERVERLY ROAD. MY BROTHER AND TWO BOYS ACROSS STREET WERE PLAYING. I SAW WHAT LOOKED LIKE A POSSIBLE FIRE ON OTHER STREET.  THERE WAS A BRIGHT RED GLOW IN SKY. I CALLED MY BROTHER AND FRIENDS OVER. I SAID LOOK A FIRE. THEY CAME OVER AND REMARKED HOW CLOSE THE FIRE SEEMED TO BE. I SAID LOOKS LIKE IT IS GETTING CLOSER. AS I WATCHED,I STARTED TO SEE SOMETHING IN SKY MOVING. IT WAS A HUGE RED BALL JUST ABOVE THE TREES. AS IT GOT CLOSER I COULD SEE THAT THE BOTTOM WAS TOUCHING THE TOP OF THE TALLEST PINE TREES. IT EVEN KNOCKED SOME OF THE UPPER LIMBS OUT OF MY GRANDMOTHER'S TREES. BEFORE THIS EVENING ALL THE TREES WERE BRIGHT GREEN EVEN IN THE TOPS ON OUR BLOCK. THE HOMES ON AVERAGE, WERE 1500 SQ.FT. RANCH STYLE HOMES.  FRONT YARD WAS ABOUT 60-70 FT. WIDE AND 50FT. FROM HOUSE TO STREET. OTHER YARDS AND HOMES WERE OF EQUAL SIZE. THE OBJECT HAD AN OVER ALL WIDTH OF 3 TO 4 HOMES AND YARDS. I SAID OUT LOUD, THIS IS SOMETHING ELSE. AND LOOKED AT MY BROTHER. I SAW HIM AND FRIENDS LYING ON GROUND OUT COLD. I COULD FEEL EXTREME HEAT COMING FROM OBJECT. IT MOVED ACROSS STREET OVER OUR HOUSE. I LIVED WITH GRAND MOTHER. AND ON OVER HOMES BEHIND OURS. I WOULD SAY IT MOVED AT ABOUT 1 TO 2 MILES AN HOUR. AFTER IT WAS GONE, I WOKE THE OTHER BOYS UP. AND ASKED THEM WHY THEY WENT TO SLEEP. THEY SAID THEY COULD NOT REMEMBER ANYTHING EXCEPT RED GLOW IN SKY. I TOLD THEM WHAT HAPPENED, THEY JUST LAUGHED. I THOUHT EVERYONE ELSE WOULD TOO, SO I DID NOT TELL ANY ONE ELSE. MY GRANDMOTHER DID ASK WHY WE HAD SUNBURNS. BECAUSE, SHE DID NOT NOTICE THEM AT DINNER. WE DID NOT ANSWER HER. THE NEXT DAY I SAW THE TOPS OF ALL THE TREES THAT WERE NEAR THE OBJECT. WERE VERY BROWN AND SCORCHED LOOKING. I EVEN FOUND LIMBS & PINE CONES IN YARD. THAT HAD BEEN BURNED BLACK AND CHARRED LOOKING. EVER SINCE THEN I HAVE BEEN VERY RESTLESS, AND HAVE HAD TROUBLE SLEEPING. I KNOW I AM NOT STUPID, BECAUSE I HAVE SERVED WITH THE CIA AND NAVAL INTELLIGENCE SINCE THEN. I ALSO SCORED 125 ON MY MILITARY ENTRANCE EXAM (ASVAB TEST). INCIDENT OCCURED 2145 07/27/69. ROCKY MOUNT,NC.. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",2006-05-15T00:00:00,35.95475538461537,-77.83203846153842
DISC SHAPED OBJECT WITH BRIGHT WHITE LITES PULSING AROUND THE BOTTOM AND FEELING OF TRANCE STATE,Warren,MI,1970-07-01T19:00:00,disk,don't know,"Occurred : 7/1/1970 19:00  (Entered as : 07/01/1970 19:00) Reported: 3/14/2006 3:27:11 AM 03:27 Posted: 5/15/2006 Location: Warren, MI Shape: Disk Duration:don't know",http://www.nuforc.org/webreports/049/S49627.html,"DISC SHAPED OBJECT WITH BRIGHT WHITE LITES PULSING AROUND THE BOTTOM AND FEELING OF TRANCE STATE WHEN I WAS ABOUT 10 YEARS OLD, I WAS IN FRONT OF A FRIEND'S HOUSE LOOKING FOR SOMEBODDY TO PLAY WITH. I FEEL I MAY HAVE LOST TIME BECAUSE OF HOW I FELT WHEN I FINALLY RAN HOME. I FELT DISORIENTED AND DO NOT REMEMBER HOW LONG I WAS LOOKING UP AT THIS DISC I SAW.  IT WAS SILVER/METAL IN COLOR AND SAUCER SHAPED ON THE BOTTOM.  IT HAD OBLONG SHAPED LIGHTS IN A CIRCLE FORMATION ON THE BOTTOM OF IT TOO. THE LIGHTS LIT ONE AT A TIME REAL FAST IN A CONTINIOUS CIRCULAR MOTION.  I REMEMBER WATCHING THE LIGHT GO AROUND IT SO FAST, AND WAS JUST STARING AT IT AND WAS IN AWE AT HOW IT WAS MOVING SO QUICK, LIKE A FAST ""PULSING"" MOTION. THE LIGHTS WERE THE MOST AMAZING COLOR OF WHITE AS IT WENT AROUND, BUT THE ONES THAT WERE NOT LIT WERE MORE OF A DULL WHITE COLOR.  I SENSE THAT IT MADE NOISE, BUT I DON'T REMEMBER ""HEARING"" A PARTICULAR NOISE.  AT THE TIME I WAS STARING AT IT, I WAS NOT AFRAID.  BUT WHEN I ""SNAPPED"" OUT OF IT, I SUDDENLY FELT AFRAID AND LOOKED AROUND ME AND IMMEDIATELY LOOKED BACK UP AND IT WAS GONE. IT WAS THEN THAT MY FRIGHT TURNED TO MORE ON THE TERRIFIED SIDE, AND I TURNED AROUND AND RAN HOME. I ALSO SEEMED TO BE ABLE TO ""FEEL"" THAT IT WAS THERE.  TO THIS DAY I FEEL SOMETHING ELSE MAY HAVE HAPPENED, BUT WHEN I REALLY CONCENTRATE AND TRY TO REMEMBER SOMETHING ELSE ABOUT THAT DAY, I START FEELING TO ANXIOUS.  I FEEL LIKE I KNOW SOMETHING ELSE, BUT CANNOT QUITE PUT MY FINGER ON IT, SO TO SPEAK.  I AM STILL LEFT WITH AN UNSETTELING FEELING. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",2006-05-15T00:00:00,42.49430574162671,-83.02442081339706
UFO hovering over potato field behind my girlfriends house,South Windsor,CT,1970-07-15T19:00:00,oval,5 min.,"Occurred : 7/15/1970 19:00  (Entered as : 07/15/70 19:00) Reported: 4/2/2006 6:32:28 PM 18:32 Posted: 5/15/2006 Location: South Windsor, CT Shape: Oval Duration:5 min.",http://www.nuforc.org/webreports/049/S49928.html,UFO hovering over potato field behind my girlfriends house Oject was hovering over a potato field behind my girlfriends house. It was late in the day around 7pm. My brother was walking home from a friend's house and I was in my bedroom window calling him home. At that time we both saw a gigantic ufo just hovering very low looking like it may want to land. I called over to my friends house to tell them to look out into their back yard and at that moment it disappeared in a flash. It was silver in color with lights that went around it. It did'nt make a sound. It was huge. My brother witnessed it as well as he was just about in front of our home at this time.,2006-05-15T00:00:00,41.833799999999954,-72.5706
ball of fire in summer sky,Stockton,CA,1970-07-22T20:00:00,fireball,5 seconds,"Occurred : 7/22/1970 20:00  (Entered as : 07/22/70 20:00) Reported: 3/24/2006 4:43:06 PM 16:43 Posted: 5/15/2006 Location: Stockton, CA Shape: Fireball Duration:5 seconds",http://www.nuforc.org/webreports/049/S49802.html,ball of fire in summer sky fireball was 500 feet elevation traveling north to south and had spark shooting from it. lit up our entire neighborhood like it was day. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD)),2006-05-15T00:00:00,37.98273572084448,-121.31976694214812
