summary,city,state,date_time,shape,duration,stats,report_link,text,posted,city_latitude,city_longitude
Glowing U F O,Phoenix,AZ,2006-03-12T12:40:00,light,less than3 minutes,"Occurred : 3/12/2006 12:40  (Entered as : 03-12-2006 12:40) Reported: 3/12/2006 1:38:17 PM 13:38 Posted: 5/15/2006 Location: Phoenix, AZ Shape: Light Duration:less than3 minutes",http://www.nuforc.org/webreports/049/S49568.html,"Glowing U F O Phoenix, Arizona 03-12-2006 12:40 PM   A shiny object was observed coming from the S.S.E., at an excessive speed.  It was moving much faster than a jet.   From the time it was first seen in, the Southern sky till it dissappeared into the Eastern horizon, was less than three minutes.  When it was first seen it was coming from the S.S.E..   It passed at about forty-five degrees upward in the East.  About twenty degrees N. from vertical, it abruptly changed course to the N.W., and came to a complete stop.  It then sped off to the S.E. for a second or two and abruptly changed course toward the East and rapidly sped toward  the horizon and out of sight. It maintained the same glow for the entire time it was in sight.",2006-05-15T00:00:00,33.5353805506076,-112.04946000000058
LIGHTS FLYING OVER SAN FRANCISCO,San Francisco,CA,2006-03-12T16:45:00,light,20,"Occurred : 3/12/2006 16:45  (Entered as : 03/12/06 16:45) Reported: 3/12/2006 8:27:07 PM 20:27 Posted: 5/15/2006 Location: San Francisco, CA Shape: Light Duration:20",http://www.nuforc.org/webreports/049/S49585.html,"LIGHTS FLYING OVER SAN FRANCISCO ON MARCH 12 2006, ME AMD MY FAMILY SAW 15 OR MORE FLASHING LIGHTS IN THE SKY, THEY LOOKED LIKE BALLES OF LIGHT THAT WAS FLYING AROUND. THEY WERE FLYING TOGETHER IN A CIRCLE, THEN THEY FLEW APART.LIKE IN A FLOCK OF BIRDS. THEN THEY FLEW APART FLYING IN DIFFERENT DIRECTIONS. IN TWO DIFFERENT GROUPS THEY FLEW AWAY OUT OF SIGHT. THEN WHEN IT WAS ALMOST OVER THEY FLEW TOGETHER OUT OF SIGHT IN TO THE CLOUDS. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2006-05-15T00:00:00,37.76999211048635,-122.42539404565326
A Boomerang shape object.,Tustin,CA,2006-03-12T18:00:00,other,3-4 min.,"Occurred : 3/12/2006 18:00  (Entered as : 03/12/06 18:00) Reported: 3/13/2006 12:59:06 AM 00:59 Posted: 5/15/2006 Location: Tustin, CA Shape: Other Duration:3-4 min.",http://www.nuforc.org/webreports/049/S49593.html,A Boomerang shape object. The craft was shaped like a boomerang with one white light on each of the three corners. It was lower than other jets and did make a sound. It was observed for about 3-4 minutes and was moving south west towards the ocean. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)),2006-05-15T00:00:00,33.74724999999989,-117.81254999999976
Fireball appeared for 5 seconds,Daly City,CA,2006-03-12T18:00:00,fireball,5 - 10 seconds,"Occurred : 3/12/2006 18:00  (Entered as : 03/12/06 18:00) Reported: 3/21/2006 12:11:56 AM 00:11 Posted: 5/15/2006 Location: Daly City, CA Shape: Fireball Duration:5 - 10 seconds",http://www.nuforc.org/webreports/049/S49751.html,"Fireball appeared for 5 seconds I was taking a picture of the moon in that evening and everything was normal while I was holding my camera and trying to focus my picture.  However, just about a couple seconds before I was ready to press the ""capture"" button, I suddenly saw a fireball showing up on my digital camera's screen and I looked at it staying still above the moon for about 5 to 10 seconds and I immmediately captured it before it disappeared immediately after I pressed the button.   At the first place, I thought it was a reflection of the moon, but I immediately took one more picture of the moon after this one and discovered that everything was normal again.  In case of a follow-up contact, please contact me through mail or email.  Thanks!",2006-05-15T00:00:00,37.68198221574339,-122.46427900874627
It was in med. size and red and white lights. It is not an a/c. It followed our car on the road. ((NUFORC Note:  Student report.  PD)),Augusta,ME,2006-03-12T21:00:00,sphere,15 minutes,"Occurred : 3/12/2006 21:00  (Entered as : 3-12-06 21:00) Reported: 3/14/2006 5:26:44 PM 17:26 Posted: 5/15/2006 Location: Augusta, ME Shape: Sphere Duration:15 minutes",http://www.nuforc.org/webreports/049/S49639.html,"It was in meduim size and red and white lights.  It is not a plane.  It followed our car on the road.  It stayed in sight distance of our car until we got home and I ran in my house with my Mom.   It was scary, very scary...I could see it but with all the trees in Maine it was blured for maybe 5 minutes.  Then it came back into view when we got out of the car.  I felt like something was going on in the air above or around us 15 minutes before it happened. ((NUFORC Note:  Report is from young student.  PD))",2006-05-15T00:00:00,44.40336756756753,-69.75762072072068
"Two star sized objects moving in syncro, one dissapearingupward followed by the second.",Vancouver,BC,2006-03-12T21:55:00,light,30 seconds,"Occurred : 3/12/2006 21:55  (Entered as : 03/12/2006 21:55) Reported: 3/12/2006 8:12:28 PM 20:12 Posted: 5/15/2006 Location: Vancouver (Canada), BC Shape: Light Duration:30 seconds",http://www.nuforc.org/webreports/049/S49584.html,"Two star sized objects moving in syncro, one dissapearingupward followed by the second. just coming back from shopping and i noticed two lights in the sky that were the same approximate size as big dipper's stars. I called my girlfriend to see it.They were adjacent to the two stars an the big dippers handle and slightly smaller distance apart. they moved in one direction parallel to the handle quite slowly (about the same speed as one might see in a high moving plane). They were too high to have been a plane as well as not hering any noise associated with them. I work with helicopters quite frequently so am sure it was not a sighting of this nature.  As they move in the same direction the first slight began to fade as if it was drwing upward and the second followed shortly after. It was a totally clear night and know that it was not a couple of planes or other objects that i could explain.",2006-05-15T00:00:00,49.26892572695881,-123.11223982257296
"A big red orange ball shape object  in the sky over by San Diego, California",San Diego,CA,2006-03-13T00:00:00,circle,2 hours,"Occurred : 3/13/2006 00:00  (Entered as : 3/13/06 0:00) Reported: 3/13/2006 12:53:55 PM 12:53 Posted: 5/15/2006 Location: San Diego, CA Shape: Circle Duration:2 hours",http://www.nuforc.org/webreports/049/S49601.html,"A big red orange ball shape object  in the sky over by San Diego, California I was sleeping when i suddenly woke up by a loud noice. I looked out the window when i saw a BIG RED ORANGE ball it was really HUGE!. I thought i was dreaming but i wasn't i could only stay awake for 2 hours and fell asleep, when i woke up it was gone. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",2006-05-15T00:00:00,32.78722907702912,-117.14026773074518
"Belle Glade, Florida—March 13, 2006	  Driving north from Key Largo, Florida around the time of three A.M., we (my boyfriend, Fred Brosn",Belle Glade,FL,2006-03-13T02:00:00,triangle,20sec,"Occurred : 3/13/2006 02:00  (Entered as : 03/13/06 2:00) Reported: 3/17/2006 9:39:17 AM 09:39 Posted: 5/15/2006 Location: Belle Glade, FL Shape: Triangle Duration:20sec",http://www.nuforc.org/webreports/049/S49694.html,"Belle Glade, Florida—March 13, 2006	  Driving north from Key Largo, Florida around the time of three A.M., we (my boyfriend, Fred Brosnihan) passed what it appeared to be a quiet, very dark everglades area.  The only lights around us were the stars in the sky, and everything else was pitch-black darkness surrounding us.   As we approached the town of Belle Glade to the right of me high up in the sky about three hundred yards away were little rows green lights in the form of a diamond with a reddish hue on the outer edges.  This diamond-like object was about what appeared on the ground at eye level to be about the size of a child’s size small diamond kite.  As I was trying to make out what those lights could possibly be, the form of lights seemed to start falling like a leaf in the wind and then before I knew it, the whole lighted phenomenon disappeared without a single trace.  It moved as if it was as light as a feather that was rocking back and forth in the wind in a carefree fashion.  I can’t explain what this could have been, as I have seen nothing like this before.  My boyfriend who was in the drivers seat had also seen what I had seen, although he had seen the reflection of this through the front window of the car.  I don’t know what this sighting was, but it was beautiful and remarkable at the same time and I was disappointed it went away so quickly.",2006-05-15T00:00:00,26.69510000000001,-80.64300000000001
Green triangle over Belle Glade,South Bay,FL,2006-03-13T02:00:00,triangle,15 sec,"Occurred : 3/13/2006 02:00  (Entered as : 03/13/06 2:00) Reported: 3/17/2006 9:16:47 AM 09:16 Posted: 5/15/2006 Location: South Bay (Belle Glade), FL Shape: Triangle Duration:15 sec",http://www.nuforc.org/webreports/049/S49692.html,"Green triangle over Belle Glade Belle Glade, Florida March 13, 06  I was traveling with my girlfriend driving north on route 27 en route to Orlando. It was about 2:00am.  I was several miles south of Belle Glade approaching its small suburb of South Harbor.  It was a clear dark night and the stars were out. Lake Okeechobee was on my left to the east just beyond a retaining dam or dyke and a swamp was just to the east of me on me on my right.  There was what I think was a sugar cane processing plant aglow in a cluster of lights on a hammock about a mile away in the marsh.  Suddenly a bright green object traversed my windshield from right to left on a downward path at a slight angle.  It was a glowing iridescent green triangle open in the middle with a smaller triangular cutout.  It looked like one of those fancy new odd shaped Frisbees that kids toss around in the back yard.  Its relative size on the windshield was each leg of the triangle was four or five inches in length.   The object began to fall in a graceful falling leaf fashion, flipping and flopping in several different directions as it descended. Then it faded away and disappeared from view.  My girlfriend was looking out the side window of my truck, the window being open, and saw what appeared to be the same object doing the same maneuver.  I was apparently seeing the reflection of the object on the interior of my windshield while she was actually viewing it. What was astonishing is the reflection itself was very vivid like an image on a liquid crystal T.V. set.  The color, the shape, and the movement of this object sets it apart from anything I have ever seen before.  So far media or law enforcement sources have not corroborated this sighting. This was the third UFO I have seen in my lifetime (I am 65) but the first one I have ever reported.  I have decided to include the details of the other sightings although I cannot remember the exact dates of these sightings.  Varadero Beach, Cuba, winter of 1954  I was just thirteen years old and had just jumped off the bus with my Cuban friend, nicknamed Pupi.  It was midnight and we were returning from the movies.  It was a clear cloudless night and the stars were out and shining bright in the night sky.  We were walking along a road that paralleled the beach.  Suddenly in an instant it became as bright as day and I could see a woods a half a mile away.  Trees, houses and every visible object stood out in stark relief as if they were caught like a snapshot by the flash of a giant camera.  Then an object appeared going in the opposite direction of our travel.  It was a round luminous white disk.  It could have been a saucer shaped disk flying on its edge or I could have been viewing a round object.  Other than the flames there appeared to be no other details such as structures or lights. From the trailing edge or rear of the disc sprouted a dozen or so blue flamelets like the flames on a gas stove turned down to a low setting.  I estimated the object to be about fifteen hundred to two thousand feet in altitude and about a half mile away.  Its relative size at that distance was about the size of a melon.  I have often wondered how an object responsible for producing so much light could be easily viewed, not appearing as an intense overwhelming blinding light with no discernable shape because of the glare. What was amazing was that this object appeared in a night sky with a starry background while the whole landscape was bathed in light.  Apparently this same object was seen over and over again and reported to the media. It was once described as a glowing disc that cart wheeled through the air.  This disk did not appear to spin or cartwheel but appeared to be flying in a steady fashion with a leading edge and a trailing edge that spouted flames.  Rockford, Illinois, early Nineties  I was just about to enter a bicycle shop on the south side of Rockford.  It was midday with a clear blue sky and a few clouds.  Before I got to the door of the shop I stretched and as I did this I looked up and saw something I couldn’t identify. It appeared to be a light silver oval or disc shaped object.  I was seeing it not from the side but possibly balancing on edge like an egg carefully placed upon its end in some kind of magicians trick.  It hung motionless several hundred above me at about an eighty degree angle from where it was soaring above some telephone wires. It was actually hard to determine its altitude and size.  Its relative size from my vantage point was that it was the size of a (egg shaped) manhole cover.  I thought it might be a balloon but balloons tend to rise and to my recollection high altitude weather balloons are sent aloft under inflated to compensate for the reduced pressure of the atmosphere there. This thing was fully “puffed up” so to speak and it was not moving at all and not rising. I decided to go into the bike shop and get some witnesses to help me possibly identify or verify what I had seen or verify that I had seen it at all.  But just as I entered the shop I became embarrassed, feeling like some kind of irrational lunatic. So I quickly went outside to see if it was still there.  It was gone.  It was not some distant dot high in the sky or any where on the horizon of my view.  It had totally vanished.",2006-05-15T00:00:00,26.6547,-80.728
green flash,Minneapolis,MN,2006-03-13T04:38:00,flash,1 second,"Occurred : 3/13/2006 04:38  (Entered as : 03/13/06 4:38) Reported: 3/13/2006 6:47:26 PM 18:47 Posted: 5/15/2006 Location: Minneapolis, MN Shape: Flash Duration:1 second",http://www.nuforc.org/webreports/049/S49614.html,green flash 2nd time this week this happened ...I was sitting on the couch drinking coffee watching the news getting ready to go to work..my tv sits in front of a big window with a view of the northern sky 4:38 am and the whole sky flashed green for maybe a second and a half,2006-05-15T00:00:00,44.980783344228506,-93.2933078783923
